epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9976,0.64622,2.60357,1.24559,0.33391,0.65399,0.34238,0.24242,0.83915,2.77471,1.30316,0.000412979,0.000412979,0.000412979
2,52.3638,0.60316,1.83456,1.21516,0.30714,0.64217,0.36138,0.18186,1.62181,4.02911,2.35915,0.000821433,0.000821433,0.000821433
3,75.7452,0.63938,1.60805,1.22911,0.44329,0.77567,0.60597,0.41773,0.90496,1.46588,1.47516,0.00122164,0.00122164,0.00122164
4,98.886,0.59673,1.38764,1.18936,0.55477,0.62738,0.60165,0.45507,0.94671,1.80508,1.52763,0.00121287,0.00121287,0.00121287
5,122.214,0.58513,1.35599,1.18805,0.50016,0.56274,0.53153,0.37973,0.91076,2.28487,1.65089,0.0012005,0.0012005,0.0012005
6,145.771,0.558,1.2814,1.18222,0.60127,0.68805,0.70971,0.58806,0.68341,1.19877,1.16293,0.00118812,0.00118812,0.00118812
7,169.637,0.53705,1.20841,1.14867,0.43809,0.71863,0.57899,0.41433,0.75851,1.39011,1.23766,0.00117575,0.00117575,0.00117575
8,193.663,0.50327,1.15729,1.14368,0.49291,0.80989,0.66138,0.57042,0.59182,1.23765,1.05526,0.00116337,0.00116337,0.00116337
9,218.026,0.48702,1.11714,1.12318,0.6492,0.56274,0.67524,0.56275,0.62922,1.41793,1.11247,0.001151,0.001151,0.001151
10,241.906,0.47058,1.10049,1.09275,0.56093,0.71863,0.62592,0.47911,0.71466,1.27427,1.21764,0.00113863,0.00113863,0.00113863
11,265.532,0.46019,1.08285,1.10053,0.59157,0.67681,0.70936,0.57481,0.6339,1.16947,1.04804,0.00112625,0.00112625,0.00112625
12,289.376,0.44902,1.0968,1.09608,0.37109,0.8327,0.51172,0.43532,0.78198,1.58567,1.39358,0.00111388,0.00111388,0.00111388
13,313.172,0.47203,1.05659,1.11782,0.50099,0.8403,0.71403,0.62615,0.50423,1.07983,0.94046,0.0011015,0.0011015,0.0011015
14,336.999,0.43146,1.05931,1.07073,0.59617,0.60456,0.68196,0.59637,0.55589,1.08399,1.05216,0.00108913,0.00108913,0.00108913
