epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.91675,3.12173,14.6759,1.77913,0.00067,0.2381,0.00057,0.00019,1.40911,30.022,0.81749,0.00036,0.00036,0.00036
2,12.569,2.85502,8.60448,1.57076,0.00187,0.66667,0.00205,0.00051,1.2076,42.3013,0.74405,0.000725348,0.000725348,0.000725348
3,15.2636,2.74146,10.5374,1.51357,0.00093,0.33333,0.00113,0.0002,1.11748,29.0583,0.68491,0.00107565,0.00107565,0.00107565
4,18.1405,2.61544,6.16481,1.52209,0.23482,0.14286,0.13205,0.03468,1.20517,27.7598,0.73531,0.0014109,0.0014109,0.0014109
5,20.8928,2.70983,4.1997,1.64154,0.0024,0.85714,0.06045,0.02065,1.1076,16.5251,0.71145,0.0017311,0.0017311,0.0017311
6,23.4119,2.74503,4.27372,1.56826,0.60254,0.50596,0.46108,0.14526,1.14858,16.4497,0.73455,0.001802,0.001802,0.001802
7,25.985,2.7479,4.33959,1.58234,0.57277,0.38095,0.44072,0.12092,1.33992,14.3389,0.80603,0.0017624,0.0017624,0.0017624
8,28.6059,2.64035,4.04694,1.697,0.32576,0.28571,0.27367,0.09979,1.15487,16.8538,0.73559,0.0017228,0.0017228,0.0017228
9,31.0665,2.38338,6.28878,1.45342,0.4815,0.39862,0.39423,0.14711,1.23036,12.9891,0.77326,0.0016832,0.0016832,0.0016832
10,33.5617,2.55553,5.51757,1.54863,0.64643,0.26259,0.41608,0.11193,1.34056,9.98301,0.8918,0.0016436,0.0016436,0.0016436
11,36.1528,2.57704,3.67464,1.56729,0.35283,0.2381,0.25404,0.0584,1.36979,14.4005,0.85578,0.001604,0.001604,0.001604
12,38.7247,2.6287,4.54096,1.51049,0.34095,0.2381,0.22658,0.06973,1.26547,20.449,0.82657,0.0015644,0.0015644,0.0015644
13,41.2961,2.62441,4.52766,1.59778,0.59707,0.38095,0.35277,0.11069,1.27129,10.9552,0.81761,0.0015248,0.0015248,0.0015248
14,43.814,2.60832,3.78956,1.54885,0.53248,0.43416,0.49438,0.15203,1.25032,9.90156,0.8077,0.0014852,0.0014852,0.0014852
15,46.3555,2.45075,3.26878,1.48738,0.58975,0.71429,0.59287,0.17833,1.17061,8.60491,0.73139,0.0014456,0.0014456,0.0014456
16,48.8555,2.48277,2.96169,1.56346,0.62754,0.56202,0.56269,0.14456,1.16865,8.79173,0.73567,0.001406,0.001406,0.001406
17,51.4278,2.48103,6.17776,1.49044,0.50173,0.43171,0.43612,0.14978,1.18668,14.3896,0.74496,0.0013664,0.0013664,0.0013664
18,54.0122,2.34458,3.10679,1.55701,0.53076,0.47619,0.39175,0.11296,1.24723,15.673,0.78326,0.0013268,0.0013268,0.0013268
19,56.6306,2.38436,3.04842,1.53285,0.63171,0.57143,0.51703,0.13848,1.17274,6.36423,0.78313,0.0012872,0.0012872,0.0012872
