epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.9243,1.62138,2.6837,1.63416,0.57398,0.23898,0.20796,0.08381,2.06568,2.37175,2.05421,0.000474957,0.000474957,0.000474957
2,157.116,1.51912,1.90295,1.55561,0.24673,0.34366,0.22552,0.07923,2.11325,2.34565,2.0798,0.000932454,0.000932454,0.000932454
3,230.059,1.48063,1.70031,1.52807,0.35601,0.28924,0.28071,0.11151,2.20694,2.26619,2.15318,0.00137109,0.00137109,0.00137109
4,305.561,1.4334,1.56595,1.48547,0.35497,0.31821,0.35648,0.15513,2.04761,2.00564,2.00937,0.00134412,0.00134412,0.00134412
5,379.445,1.34478,1.4458,1.42408,0.33242,0.34965,0.37908,0.16853,1.97537,1.87945,1.92673,0.00131582,0.00131582,0.00131582
6,451.649,1.29662,1.35365,1.39297,0.35743,0.35693,0.36818,0.16224,2.00813,1.90119,1.99506,0.00128753,0.00128753,0.00128753
7,524.755,1.24947,1.28427,1.35841,0.31352,0.40865,0.3398,0.14762,2.02737,1.96637,1.9971,0.00125923,0.00125923,0.00125923
8,597.116,1.22105,1.23897,1.34217,0.42593,0.53724,0.48268,0.22862,1.85506,1.58257,1.8402,0.00123094,0.00123094,0.00123094
9,669.617,1.19322,1.17824,1.32064,0.42562,0.43499,0.41014,0.17729,1.9584,1.76573,1.89535,0.00120265,0.00120265,0.00120265
10,741.78,1.1898,1.1856,1.31602,0.445,0.56637,0.47983,0.24388,1.82503,1.62791,1.7892,0.00117435,0.00117435,0.00117435
11,813.392,1.16147,1.13181,1.29713,0.81026,0.41404,0.48239,0.23818,1.812,1.5448,1.78521,0.00114606,0.00114606,0.00114606
12,885.756,1.13079,1.1099,1.28946,0.46984,0.45391,0.44439,0.20704,1.86501,1.62525,1.80274,0.00111776,0.00111776,0.00111776
13,957.208,1.12743,1.08892,1.2765,0.42991,0.5358,0.4888,0.23894,1.82575,1.50502,1.79135,0.00108947,0.00108947,0.00108947
14,1029.08,1.12994,1.07806,1.28147,0.37998,0.48538,0.44763,0.18042,1.94619,1.66357,1.88456,0.00106118,0.00106118,0.00106118
15,1101.26,1.11041,1.06484,1.27357,0.45942,0.56469,0.50341,0.25643,1.81177,1.52759,1.77854,0.00103288,0.00103288,0.00103288
16,1173.59,1.08932,1.01498,1.25467,0.61311,0.51677,0.51844,0.25168,1.81284,1.49409,1.77509,0.00100459,0.00100459,0.00100459
17,1246.04,1.07584,1.00179,1.24943,0.63432,0.49967,0.51267,0.25275,1.75372,1.45062,1.71624,0.000976293,0.000976293,0.000976293
18,1317.54,1.04305,0.96713,1.23311,0.50713,0.45635,0.46245,0.21239,1.87926,1.44048,1.81803,0.000947999,0.000947999,0.000947999
19,1389.94,1.08651,1.00048,1.25065,0.4924,0.57156,0.51839,0.25656,1.74131,1.39595,1.73204,0.000919704,0.000919704,0.000919704
20,1461.82,1.07281,0.97849,1.2435,0.48209,0.59836,0.53293,0.25778,1.81082,1.40479,1.7631,0.00089141,0.00089141,0.00089141
21,1533.54,1.02726,0.94067,1.21904,0.49871,0.57924,0.54122,0.28331,1.77171,1.34516,1.74393,0.000863116,0.000863116,0.000863116
22,1606.23,1.03657,0.93904,1.22627,0.52506,0.57014,0.54646,0.27098,1.77697,1.3461,1.74544,0.000834822,0.000834822,0.000834822
23,1678.83,1.02687,0.93745,1.21839,0.49877,0.54864,0.5335,0.26578,1.78395,1.38197,1.73126,0.000806528,0.000806528,0.000806528
24,1751.79,1.00967,0.91139,1.20887,0.56367,0.50959,0.51888,0.26437,1.79428,1.39,1.7741,0.000778233,0.000778233,0.000778233
25,1823.93,0.99908,0.88715,1.19919,0.45824,0.59444,0.53288,0.27629,1.73818,1.33285,1.70162,0.000749939,0.000749939,0.000749939
26,1895.61,0.98003,0.86837,1.19456,0.6005,0.45678,0.5318,0.27114,1.73558,1.33116,1.6942,0.000721645,0.000721645,0.000721645
27,1967.52,0.98812,0.8701,1.19571,0.47995,0.50872,0.51474,0.26715,1.72102,1.43202,1.68354,0.000693351,0.000693351,0.000693351
28,2039.71,0.9765,0.83979,1.18607,0.48128,0.57661,0.5385,0.27217,1.75036,1.35726,1.72046,0.000665057,0.000665057,0.000665057
29,2111.24,0.9728,0.8409,1.18911,0.60986,0.49206,0.5517,0.28909,1.72623,1.27698,1.70484,0.000636762,0.000636762,0.000636762
30,2183.69,0.96399,0.83873,1.1797,0.50462,0.61341,0.54306,0.2802,1.72146,1.26942,1.70504,0.000608468,0.000608468,0.000608468
31,2255.79,0.95361,0.82044,1.1743,0.47269,0.58832,0.5278,0.25997,1.74393,1.29345,1.7072,0.000580174,0.000580174,0.000580174
32,2329.09,0.94334,0.81269,1.16688,0.52336,0.59181,0.57011,0.29881,1.71325,1.21426,1.67362,0.00055188,0.00055188,0.00055188
33,2401.32,0.93906,0.79699,1.16394,0.55255,0.6204,0.57626,0.30829,1.70268,1.2348,1.67148,0.000523586,0.000523586,0.000523586
34,2473.25,0.92285,0.76964,1.15247,0.48399,0.60782,0.55618,0.30045,1.71807,1.21512,1.6773,0.000495291,0.000495291,0.000495291
35,2545.33,0.90632,0.75822,1.1467,0.59291,0.56357,0.58382,0.30703,1.7054,1.21566,1.67042,0.000466997,0.000466997,0.000466997
36,2616.88,0.91556,0.77784,1.15523,0.53826,0.62545,0.57323,0.31148,1.70204,1.21321,1.68245,0.000438703,0.000438703,0.000438703
37,2688.98,0.9222,0.7707,1.15453,0.51405,0.61662,0.5624,0.30937,1.68329,1.21826,1.66402,0.000410409,0.000410409,0.000410409
38,2764.11,0.89239,0.74059,1.13924,0.51335,0.62272,0.55938,0.29673,1.71657,1.21775,1.68023,0.000382115,0.000382115,0.000382115
39,2851.26,0.88967,0.7145,1.13624,0.55462,0.58757,0.57666,0.31463,1.66394,1.18001,1.64705,0.00035382,0.00035382,0.00035382
40,2938.75,0.88685,0.71488,1.13619,0.52072,0.67948,0.58036,0.31661,1.6626,1.15612,1.65563,0.000325526,0.000325526,0.000325526
